ID,Date,Rank,Link,Watchface Name,Watchface Thumbnail,IsUnique,UI Style,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Color Hue (Color except balck white grey),Animation,Data Types,displayForm,Data+Display,OnlyIcon,"Watch type (Analog, Digital,Hybrid)",Sport tagged?,Number of data types,formFactor
38,2022-09-18,38,https://www.facer.io/watchface/fG9Gh87UdA?watchModel=applewatch7black,RZAW91,,yes,flat,container;background;,1,no;,time;date;day;steps;heart rate;calories;,text;text;text;,steps=text;heart rate=text;calories=text;,none;,digital,no;,3,apple
39,2022-09-18,39,https://www.facer.io/watchface/GKl2SGVRxM?watchModel=applewatch4sportwhite,MOD-414 Active Pink,,yes,skeuomorphism,container;,1,no;,time;date;day;steps;calories;exercise time;standing time;,text;text;text;text;,steps=text;calories=text;exercise time=text;standing time=text;,none;,analog,no;,4,apple
40,2022-09-18,40,https://www.facer.io/watchface/8hXR938HEj?watchModel=applewatch7black,WorldMap-Pro-S7,,yes,flat,background;,1,no;,time;date;day;watch battery;temperature;weather;humidity;sun;steps;calories;exercise time;standing time;heart rate;wind speed;wind direction;moon;,icon+text;text;text;icon+text;text;icon+text;text;text;text;text;text;icon+text;icon;,watch battery=icon+text;temperature=text;weather=text;humidity=icon+text;sun=text;steps=icon+text;calories=text;exercise time=text;standing time=text;heart rate=text;wind speed=text;wind direction=icon+text;moon=icon;,moon;,digital,no;,13,apple
41,2022-09-18,41,https://www.facer.io/watchface/fqeNUMFMRH?watchModel=applewatch7black,Skulz Candy,,yes,flat,container;background;,4,no;,time;date;day;weather;temperature;heart rate;watch battery;steps;,text;text;icon+text;chart;text;,weather=text;temperature=text;heart rate=icon+text;watch battery=chart;steps=text;,none;,digital,no;,5,apple
42,2022-09-18,42,https://www.facer.io/watchface/kD4GspGwBr?watchModel=applewatch7black,VSA | Mint,,yes,semi-flat,container;,2,no;,time;date;day;watch battery;temperature;weather;steps;calories;exercise time;standing time;,chart+text;text;icon;icon+text;text;text;text;,watch battery=chart+text;temperature=text;weather=icon;steps=icon+text;calories=text;exercise time=text;standing time=text;,weather;,analog,yes;,7,apple
43,2022-09-18,43,https://www.facer.io/watchface/0l8E40MbkF?watchModel=applewatch4sportwhite,Celestial Gnome,,yes,flat,container;background;,3,no;,time;date;day;steps;heart rate;calories;watch battery;moon;,icon+text;icon+text;icon+text;text;icon;,steps=icon+text;heart rate=icon+text;calories=icon+text;watch battery=text;moon=icon;,moon;,digital,no;,5,apple
44,2022-09-18,44,https://www.facer.io/watchface/7Q0p7yEJeH?watchModel=applewatch7black,CFW BILLBOARD DIGITAL 02,,yes,flat,container;,1,no;,time;date;day;watch battery;location;temperature;weather;steps;heart rate;moon;,text;text;text;text;text;text;icon;,watch battery=text;location=text;temperature=text;weather=text;steps=text;heart rate=text;moon=icon;,moon;,digital,no;,7,apple
45,2022-09-18,45,https://www.facer.io/watchface/nfuAddDESe?watchModel=applewatch6blacksportloop,Approaching Fall,,yes,flat,container;background;,3,no;,time;date;day;move value;steps;calories;watch battery;heart rate;,text;icon+text;icon+text;text;icon+text;,move value=text;steps=icon+text;calories=icon+text;watch battery=text;heart rate=icon+text;,none;,digital,no;,5,apple
46,2022-09-18,46,https://www.facer.io/watchface/zE3tCO2x0N?watchModel=applewatch4sportwhite,MOD-419 Simple Elegance,,yes,flat,container;,1,no;,time;date;day;watch battery;,chart+text;,watch battery=chart+text;,none;,analog,no;,1,apple
47,2022-09-18,47,https://www.facer.io/watchface/b9ac5QvzcX?watchModel=applewatch4sportwhite,MOD-412 Elegant Moon Phase,,yes,skeuomorphism,container;,1,no;,time;date;day;watch battery;temperature;weather;moon;,chart+text;text;icon;icon;,watch battery=chart+text;temperature=text;weather=icon;moon=icon;,weather;moon;,analog,no;,4,apple
